01-Aug-15	$10.00	£100.00	€50.00	1.5400000000	1.1200000000
02-Aug-15	$10.50	£99.00	€52.00	1.5463997120	1.1287698791
03-Aug-15	$11.00	£98.00	€54.00	1.5470248143	1.1387503547
04-Aug-15	$11.50	£97.00	€56.00	1.5516827259	1.1359123722
05-Aug-15	$12.00	£96.00	€58.00	1.5610380857	1.1363179123
06-Aug-15	$12.50	£95.00	€60.00	1.5581210854	1.1455999822
07-Aug-15	$13.00	£94.00	€62.00	1.5495757755	1.1424335190
08-Aug-15	$13.50	£93.00	€64.00	1.5535255964	1.1472158785
09-Aug-15	$14.00	£92.00	€66.00	1.5467812473	1.1553735571
10-Aug-15	$14.50	£91.00	€68.00	1.5440015524	1.1456233039
11-Aug-15	$15.00	£90.00	€70.00	1.5458187013	1.1459473702
12-Aug-15	$15.50	£89.00	€72.00	1.5536279818	1.1443143692
13-Aug-15	$16.00	£88.00	€74.00	1.5469779296	1.1517040870
14-Aug-15	$16.50	£87.00	€76.00	1.5474466449	1.1553728836
15-Aug-15	$17.00	£86.00	€78.00	1.5521896956	1.1505956569
16-Aug-15	$17.50	£85.00	€80.00	1.5534670218	1.1440663378
17-Aug-15	$18.00	£84.00	€82.00	1.5513400830	1.1364314513
18-Aug-15	$18.50	£83.00	€84.00	1.5562314093	1.1441320988
19-Aug-15	$19.00	£82.00	€86.00	1.5636285831	1.1498181954
20-Aug-15	$19.50	£81.00	€88.00	1.5717421761	1.1594581012
21-Aug-15	$20.00	£80.00	€90.00	1.5738983204	1.1684074259
22-Aug-15	$20.50	£79.00	€92.00	1.5771021606	1.1714972148
23-Aug-15	$21.00	£78.00	€94.00	1.5715900808	1.1620573898
24-Aug-15	$21.50	£77.00	€96.00	1.5760880733	1.1689603307
25-Aug-15	$22.00	£76.00	€98.00	1.5748517909	1.1688384830
26-Aug-15	$22.50	£75.00	€100.00	1.5665591231	1.1599338641
27-Aug-15	$23.00	£74.00	€102.00	1.5589148119	1.1542613768
28-Aug-15	$23.50	£73.00	€104.00	1.5563388376	1.1577144866
29-Aug-15	$24.00	£72.00	€106.00	1.5505725643	1.1520739268
30-Aug-15	$24.50	£71.00	€108.00	1.5476151652	1.1428654130
31-Aug-15	$25.00	£70.00	€110.00	1.5545829229	1.1522897389
